line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#char#getLastChar#?#81	0.0	7.821666014861208E-4	7.821666014861208E-4	last<=0	_
com.google.javascript.rhino.Node#int#getChildCount#?#1410	0.0	2.964117952341102E-4	2.964117952341102E-4	c==0	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#char#getLastChar#?#207	0.0	1.7731411033451135E-5	1.7731411033451135E-5	(code.length() > 0) ? code.charAt(code.length() - 1) : '\0'<=0	_
com.google.javascript.rhino.Node#int#getCharno#?#1145	0.0	1.4055527909112942E-5	1.4055527909112942E-5	extractCharno(sourcePosition)<0	_
com.google.javascript.rhino.Node#int#getLineno#?#1141	0.0	1.4051226086569693E-5	1.4051226086569693E-5	extractLineno(sourcePosition)<0	_
com.google.javascript.rhino.Node#int#extractLineno#?,int#1213	0.0	1.1894453489900539E-5	1.1894453489900539E-5	lineCharNo >>> COLUMN_BITS>0	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#76	0.0	2.2906187708241896E-6	2.2906187708241896E-6	errorCount==0	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2069	0.0	1.040247270937196E-6	1.040247270937196E-6	errorManager.getErrorCount()<=0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	0.0	1.0123047925216936E-6	1.0123047925216936E-6	id.hashCode()<=0	_
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1201	0.0	2.6592909754086395E-7	2.6592909754086395E-7	lineno << COLUMN_BITS | (charno & COLUMN_MASK)!=0	_
com.google.javascript.rhino.Node#int#getType#?#529	0.0	0.0	0.0	type>0	_
com.google.javascript.rhino.Node$IntPropListItem#int#getIntValue#?#342	0.0	0.0	0.0	intValue!=0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#834	0.0	0.0	0.0	item.getIntValue()>=0	_
com.google.javascript.jscomp.BasicErrorManager#int#getWarningCount#?#81	0.0	0.0	0.0	warningCount<=0	_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1219	0.0	0.0	0.0	Token.TRUE!=0	_
com.google.javascript.jscomp.NodeUtil#int#getNodeTypeReferenceCount#?,Node,int,Predicate<Node>#2629	0.0	0.0	0.0	getCount(node,new MatchNodeType(type),traverseChildrenPred)!=0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#84	0.0	0.0	0.0	Priority.DEFAULT.value!=0	_
com.google.javascript.jscomp.InlineCostEstimator#int#getCost#?,Node#39	0.0	0.0	0.0	getCost(root,Integer.MAX_VALUE)!=0	_
com.google.javascript.jscomp.CodeGenerator#int#getNonEmptyChildCount#?,Node,int#1141	0.0	0.0	0.0	i>0	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	0.0	0.0	key.hashCode()<0	_
com.google.javascript.jscomp.Tracer#long#stop#?,int#413	0.0	0.0	0.0	0==0	_
com.google.javascript.jscomp.FunctionInjector#int#inlineCostDelta#?,Node,Set<String>,InliningMode#905	0.0	0.0	0.0	(overhead - costDeltaFunctionOverhead)<0	_
com.google.javascript.jscomp.NodeTraversal#int#getScopeDepth#?#639	0.0	0.0	0.0	scopes.size() + scopeRoots.size()!=0	_
com.google.javascript.rhino.jstype.JSType#int#hashCode#?#432	0.0	0.0	0.0	System.identityHashCode(this)!=0	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#379	0.0	0.0	0.0	position>=0	_
com.google.javascript.jscomp.NodeUtil#int#getCount#?,Node,Predicate<Node>,Predicate<Node>#2697	0.0	0.0	0.0	total>0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1223	0.0	0.0	0.0	-1<0	_
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1230	0.0	0.0	0.0	15>=0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#284	0.0	0.0	0.0	propType>=0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#65	0.0	0.0	0.0	priorityDiff!=0	_
com.google.javascript.jscomp.InlineCostEstimator#int#getCost#?,Node,int#48	0.0	0.0	0.0	estimator.getCost()>0	_
com.google.javascript.jscomp.FunctionInjector#int#estimateCallCost#?,Node,boolean#849	0.0	0.0	0.0	callCost>=0	_
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#int#getCost#?#71	0.0	0.0	0.0	cost>=0	_
com.google.javascript.rhino.Node$NumberNode#double#getDouble#?#167	0.0	0.0	0.0	this.number>0	_
com.google.javascript.jscomp.Tracer#long#stop#?#441	0.0	0.0	0.0	stop(-1)<=0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#176	0.0	0.0	0.0	getReferenceName().hashCode()>=0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#99	0.0	0.0	0.0	WarningsGuard.Priority.SUPPRESS_DOC.value!=0	_
com.google.javascript.jscomp.UseSite#int#hashCode#?#43	0.0	0.0	0.0	this.node.hashCode()>=0	_
