line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node#int#getType#?#529	0.0	0.0	0.0	type!=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getLineno#?#226	0.0	0.0	0.0	lineno!=0	_
com.google.javascript.jscomp.JSError#JSError#make#?,String,int,int,DiagnosticType,String#87	0.0	0.0	0.0	lineno>=charno	_
com.google.javascript.jscomp.BasicErrorManager#int#getErrorCount#?#76	0.0	0.0	0.0	errorCount==0	_
com.google.javascript.rhino.Node#int#getSideEffectFlags#?#2023	0.0	0.0	0.0	getIntProp(SIDE_EFFECT_FLAGS)>=0	_
com.google.javascript.jscomp.CodePrinter$MappedCodePrinter#char#getLastChar#?#207	0.0	0.0	0.0	(code.length() > 0) ? code.charAt(code.length() - 1) : '\0'!=0	_
com.google.javascript.rhino.Node$IntPropListItem#int#getIntValue#?#342	0.0	0.0	0.0	intValue!=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getChar#?#343	0.0	0.0	0.0	ungetBuffer[ungetCursor]!=0	_
com.google.javascript.rhino.Node#int#getIntProp#?,int#834	0.0	0.0	0.0	item.getIntValue()>=0	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#144	0.0	0.0	0.0	lineno!=charno	_
com.google.javascript.jscomp.BasicErrorManager#int#getWarningCount#?#81	0.0	0.0	0.0	warningCount==0	_
com.google.javascript.jscomp.parsing.IRFactory#int#transformTokenType#?,int#1258	0.0	0.0	0.0	Token.ASSIGN_ADD>=0	_
com.google.javascript.jscomp.Compiler#double#getProgress#?#2342	0.0	0.0	0.0	progress!=0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#84	0.0	0.0	0.0	Priority.DEFAULT.value>=0	_
com.google.javascript.rhino.JSDocInfoBuilder#void#markTypeNode#?,Node,int,int,int,int,boolean#182	0.0	0.0	0.0	lineno<=startCharno	_
com.google.javascript.rhino.JSDocInfo#int#getExtendedInterfacesCount#?#1299	0.0	0.0	0.0	0<=0	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	0.0	0.0	key.hashCode()<=0	_
com.google.javascript.rhino.Node#int#getCharno#?#1145	0.0	0.0	0.0	extractCharno(sourcePosition)>0	_
com.google.javascript.jscomp.NodeTraversal#int#getScopeDepth#?#639	0.0	0.0	0.0	scopes.size() + scopeRoots.size()>=0	_
com.google.javascript.jscomp.Tracer#long#stop#?,int#413	0.0	0.0	0.0	0<=0	_
com.google.javascript.rhino.jstype.JSType#int#hashCode#?#484	0.0	0.0	0.0	System.identityHashCode(this)>=0	_
com.google.javascript.jscomp.parsing.IRFactory#int#position2charno#?,int#382	0.0	0.0	0.0	position - lineIndex - 1==0	_
com.google.javascript.rhino.JSDocInfo#int#getParameterCount#?#998	0.0	0.0	0.0	info.parameters.size()==0	_
com.google.javascript.rhino.Node#int#extractCharno#?,int#1223	0.0	0.0	0.0	-1<0	_
com.google.javascript.jscomp.JSModule#int#getDepth#?#302	0.0	0.0	0.0	depth>=0	_
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1198	0.0	0.0	0.0	9!=0	_
com.google.javascript.jscomp.Compiler#int#getErrorCount#?#2072	0.0	0.0	0.0	errorManager.getErrorCount()<=0	_
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1197	0.0	0.0	0.0	-1!=0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#284	0.0	0.0	0.0	propType!=0	_
com.google.javascript.rhino.Node#int#extractLineno#?,int#1213	0.0	0.0	0.0	lineCharNo >>> COLUMN_BITS!=0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getOffset#?#447	0.0	0.0	0.0	sourceCursor - lineStart - ungetCursor- 1>=0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#65	0.0	0.0	0.0	priorityDiff>=0	_
com.google.javascript.jscomp.BasicErrorManager#double#getTypedPercent#?#101	0.0	0.0	0.0	typedPercent<=0	_
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenamer#int#incrementNameCount#?,String#497	0.0	0.0	0.0	nameUsage.add(name,1)>=0	_
com.google.javascript.jscomp.parsing.JsDocInfoParser#Node#parseAndRecordTypeNode#?,JsDocToken,int,int,boolean,boolean#1147	0.0	0.0	0.0	lineno<=startCharno	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharIgnoreLineEnd#?#434	0.0	0.0	0.0	c!=0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	0.0	0.0	0.0	id.hashCode()!=0	_
com.google.javascript.rhino.Node#int#getChildCount#?#1410	0.0	0.0	0.0	c>0	_
com.google.javascript.jscomp.Tracer#long#stop#?#441	0.0	0.0	0.0	stop(-1)==0	_
com.google.javascript.rhino.jstype.InstanceObjectType#int#hashCode#?#176	0.0	0.0	0.0	getReferenceName().hashCode()<0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#99	0.0	0.0	0.0	WarningsGuard.Priority.SUPPRESS_DOC.value>0	_
com.google.javascript.rhino.Node#int#getLineno#?#1141	0.0	0.0	0.0	extractLineno(sourcePosition)>0	_
com.google.javascript.jscomp.parsing.JsDocTokenStream#int#getCharno#?#229	0.0	0.0	0.0	lineno == initLineno ? initCharno + charno : charno>0	_
