line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.util.ShapeList#int#hashCode#?#121	1.0	1.0	1.0	super.hashCode()>0	_
org.jfree.chart.util.ShapeList#void#readObject#?,ObjectInputStream#164	1.0	1.0	1.0	!(index != -1)	_
org.jfree.chart.util.AbstractObjectList#int#hashCode#?#216	1.0	1.0	1.0	HashUtilities.hashCode(result,this.objects[size / 2])!=size	_
org.jfree.chart.util.ShapeList#void#writeObject#?,ObjectOutputStream#136	1.0	1.0	1.0	i < count	_
org.jfree.chart.util.ShapeList#void#setShape#?,int,Shape#81	0.16	0.0	0.128		_
org.jfree.chart.util.AbstractObjectList#boolean#equals#?,Object#194	0.15384615384615385	0.15384615384615385	0.12307692307692308		_
org.jfree.chart.util.SerialUtilities#Shape#readShape#?,ObjectInputStream#274	0.047619047619047616	0.3333333333333333	0.10476190476190476	stream.readDouble()>y1	_
org.jfree.chart.util.AbstractObjectList#void#writeObject#?,ObjectOutputStream#265	0.09090909090909091	0.09090909090909091	0.07272727272727274		_
org.jfree.chart.util.AbstractObjectList#void#readObject#?,ObjectInputStream#287	0.05	0.09090909090909091	0.05454545454545455	!(index != -1)	_
org.jfree.chart.util.SerialUtilities#void#writeShape#?,Shape,ObjectOutputStream#366	0.047619047619047616	0.047619047619047616	0.0380952380952381		_
org.jfree.chart.util.ShapeList#Shape#getShape#?,int#70	0.045454545454545456	0.0	0.03636363636363637		_
org.jfree.chart.util.HashUtilities#int#hashCode#?,int,int#136	0.020833333333333332	0.020833333333333332	0.020833333333333332	37 * pre + i!=0	_
org.jfree.chart.util.HashUtilities#int#hashCode#?,int,Object#228	0.01818181818181818	0.0196078431372549	0.018467023172905526	37 * pre + h<=0	_
org.jfree.chart.util.ShapeList#boolean#equals#?,Object#108	0.01809954751131222	0.01809954751131222	0.01809954751131222	!(!(obj instanceof ShapeList))	GT
org.jfree.chart.util.AbstractObjectList#Object#get#?,int#110	0.016877637130801686	0.016877637130801686	0.01687763713080169	index >= 0 && index < this.size	_
org.jfree.chart.util.AbstractObjectList#void#set#?,int,Object#126	0.016736401673640166	0.016736401673640166	0.016736401673640166	!(index >= this.objects.length)	_
org.jfree.chart.util.AbstractObjectList#int#size#?#149	0.009324009324009324	0.01702127659574468	0.010863462778356396	this.size>0	_
org.jfree.chart.util.AbstractObjectList#?#AbstractObjectList#?,int,int#97	0.008714596949891068	0.008714596949891068	0.008714596949891068	increment<=initialCapacity	_
org.jfree.chart.util.ShapeList#?#ShapeList#?#59	0.01084010840108401	0.0	0.008672086720867209		_
org.jfree.chart.util.ObjectUtilities#boolean#equal#?,Object,Object#128	0.007054673721340388	0.007054673721340388	0.0070447375611694864	o1 != null	_
org.jfree.chart.util.AbstractObjectList#?#AbstractObjectList#?,int#86	0.008714596949891068	0.0	0.006971677559912855		_
org.jfree.chart.util.AbstractObjectList#?#AbstractObjectList#?#77	0.008714596949891068	0.0	0.006971677559912855		_
