line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int#234	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat$TimeZoneNameRule#int#estimateLength#?#1560	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat$TimeZoneNameRule#?#TimeZoneNameRule#?,TimeZone,boolean,Locale,int#1544	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int,Locale#425	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int,TimeZone,Locale#461	1.0	0.0	1.0		GT
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateTimeInstance#?,int,int#408	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int,TimeZone,Locale#293	1.0	0.0	1.0		GT
org.apache.commons.lang.time.FastDateFormat#List#parsePattern#?#672	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat$Pair#boolean#equals#?,Object#1727	1.0	0.0	1.0		_
org.apache.commons.lang.time.FastDateFormat$Pair#int#hashCode#?#1738	0.6666666666666667	0.0	0.6666666666666667		_
org.apache.commons.lang.time.FastDateFormat$Pair#?#Pair#?,Object,Object#1709	0.6666666666666667	0.0	0.6666666666666667		_
org.apache.commons.lang.time.FastDateFormat$TwelveHourField#?#TwelveHourField#?,NumberRule#1448	0.5	0.0	0.5		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getDateInstance#?,int,Locale#249	0.5	0.0	0.5		_
org.apache.commons.lang.time.FastDateFormat$TwelveHourField#int#estimateLength#?#1455	0.5	0.0	0.5		_
org.apache.commons.lang.time.FastDateFormat$UnpaddedNumberField#?#UnpaddedNumberField#?,int#1186	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat$UnpaddedNumberField#int#estimateLength#?#1193	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat#Locale#getLocale#?#954	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat#NumberRule#selectNumberRule#?,int,int#772	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat$StringLiteral#int#estimateLength#?#1120	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat$StringLiteral#?#StringLiteral#?,String#1113	0.4	0.0	0.4		_
org.apache.commons.lang.time.FastDateFormat$TextField#?#TextField#?,int,String[]#1146	0.33333333333333337	0.0	0.33333333333333337		_
org.apache.commons.lang.time.FastDateFormat$TextField#int#estimateLength#?#1161	0.33333333333333337	0.0	0.33333333333333337		_
org.apache.commons.lang.time.FastDateFormat#int#hashCode#?#1007	0.09999999999999998	0.11111111111111116	0.21111111111111114	(total)>= 0	_
org.apache.commons.lang.time.FastDateFormat#String#parseToken#?,String,int[]#746	0.19999999999999996	0.0	0.19999999999999996		_
org.apache.commons.lang.time.FastDateFormat#?#FastDateFormat#?,String,TimeZone,Locale#546	0.1333333333333333	0.0	0.1333333333333333		_
org.apache.commons.lang.time.FastDateFormat$PaddedNumberField#?#PaddedNumberField#?,int,int#1277	0.11764705882352944	0.0	0.11764705882352944		_
org.apache.commons.lang.time.FastDateFormat$PaddedNumberField#int#estimateLength#?#1285	0.11764705882352944	0.0	0.11764705882352944		_
org.apache.commons.lang.time.FastDateFormat$CharacterLiteral#int#estimateLength#?#1089	0.10526315789473684	0.0	0.10526315789473684		_
org.apache.commons.lang.time.FastDateFormat#FastDateFormat#getInstance#?,String,TimeZone,Locale#215	0.10526315789473684	0.0	0.10526315789473684		_
org.apache.commons.lang.time.FastDateFormat$CharacterLiteral#?#CharacterLiteral#?,char#1082	0.10526315789473684	0.0	0.10526315789473684		_
org.apache.commons.lang.time.FastDateFormat#void#init#?#564	0.09999999999999998	0.0	0.09999999999999998		_
org.apache.commons.lang.time.FastDateFormat$TwoDigitNumberField#?#TwoDigitNumberField#?,int#1333	0.05555555555555558	0.0	0.05555555555555558		_
org.apache.commons.lang.time.FastDateFormat$TwoDigitNumberField#int#estimateLength#?#1340	0.05555555555555558	0.0	0.05555555555555558		_
