line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.DefaultKeyedValues#void#removeValue#?,Comparable#334	1.0	0.0	1.0		GT
org.jfree.data.DefaultKeyedValues#void#removeValue#?,int#317	1.0	0.0	1.0		GT
org.jfree.data.DefaultKeyedValues2D#void#removeColumn#?,Comparable#458	0.7071067811865475	0.0	0.7071067811865475		GT
org.jfree.data.category.DefaultCategoryDataset#void#removeColumn#?,Comparable#350	0.5	0.0	0.5		_
org.jfree.data.DefaultKeyedValues#void#rebuildIndex#?#299	0.35355339059327373	0.0	0.35355339059327373		_
org.jfree.data.DefaultKeyedValues#int#getIndex#?,Comparable#157	0.1690308509457033	0.1690308509457033	0.3380617018914066	i.intValue()>=0	_
org.jfree.data.DefaultKeyedValues#void#setValue#?,Comparable,Number#234	0.25	0.0	0.25		_
org.jfree.data.DefaultKeyedValues#void#addValue#?,Comparable,Number#209	0.23570226039551587	0.0	0.23570226039551587		_
org.jfree.data.DefaultKeyedValues2D#int#getRowIndex#?,Comparable#189	0.09950371902099892	0.13483997249264842	0.23434369151364734	this.rowKeys.indexOf(key)>0	_
org.jfree.data.DefaultKeyedValues#void#addValue#?,Comparable,double#197	0.22360679774997896	0.0	0.22360679774997896		_
org.jfree.data.DefaultKeyedValues#?#DefaultKeyedValues#?#99	0.16012815380508713	0.0	0.16012815380508713		_
org.jfree.data.DefaultKeyedValues2D#void#setValue#?,Number,Comparable,Comparable#323	0.1259881576697424	0.0	0.1259881576697424		_
org.jfree.data.DefaultKeyedValues2D#void#addValue#?,Number,Comparable,Comparable#303	0.1	0.0	0.1		_
org.jfree.data.DefaultKeyedValues2D#?#DefaultKeyedValues2D#?#95	0.0936585811581694	0.0	0.0936585811581694		_
org.jfree.data.DefaultKeyedValues2D#?#DefaultKeyedValues2D#?,boolean#106	0.08980265101338746	0.0	0.08980265101338746		_
org.jfree.data.category.DefaultCategoryDataset#void#addValue#?,double,Comparable,Comparable#233	0.0629940788348712	0.0	0.0629940788348712		_
org.jfree.data.category.DefaultCategoryDataset#void#addValue#?,Number,Comparable,Comparable#218	0.057353933467640436	0.0	0.057353933467640436		_
org.jfree.data.category.DefaultCategoryDataset#?#DefaultCategoryDataset#?#74	0.050507627227610534	0.0	0.050507627227610534		_
org.jfree.data.general.AbstractDataset#void#fireDatasetChanged#?#170	0.028490144114909487	0.0	0.028490144114909487		_
org.jfree.data.general.AbstractDataset#void#notifyListeners#?,DatasetChangeEvent#184	0.02676438637860946	0.0	0.02676438637860946		_
org.jfree.data.general.DatasetChangeEvent#?#DatasetChangeEvent#?,Object,Dataset#71	0.02487592975524973	0.0	0.02487592975524973		_
org.jfree.data.general.AbstractDataset#?#AbstractDataset#?#96	0.02422507915557546	0.0	0.02422507915557546		_
org.jfree.data.general.DatasetGroup#?#DatasetGroup#?#63	0.024196695924791362	0.0	0.024196695924791362		_
