line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#atan#?,double[],int,double[],int#1361	0.5	1.0	1.5	coeff != f	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#pow#?,double[],int,int,double[],int#897	0.18257418583505536	1.0	1.1825741858350554	function[i] != xk	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#multiply#?,double[],int,double[],int,double[],int#779	0.10540925533894598	1.0	1.105409255338946	result[resultOffset + i] != r	_
org.apache.commons.math3.util.FastMath#double#atan#?,double,double,boolean#2480	0.17677669529663687	0.4082482904638631	0.5850249857604999	yb != epsB	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#atan2#?,double[],int,double[],int,double[],int#1389	0.5773502691896258	0.0	0.5773502691896258		GT
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#DerivativeStructure#atan2#?,DerivativeStructure,DerivativeStructure#759	0.5773502691896258	0.0	0.5773502691896258		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#rootN#?,double[],int,int,double[],int#962	0.18257418583505536	0.3779644730092272	0.5547411683058641	function[i] == xReciprocal	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#compose#?,double[],int,double[],double[],int#1723	0.10153461651336192	0.3779644730092272	0.47949908952258913	result[resultOffset + i] != r	_
org.apache.commons.math3.util.FastMath#double#pow#?,double,int#1647	0.11624763874381928	0.2773500981126146	0.39359773685643384	resultLow != tmpLow	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#divide#?,double[],int,double[],int,double[],int#796	0.23570226039551587	0.0	0.23570226039551587		_
org.apache.commons.math3.util.FastMath#double#atan#?,double#2423	0.1796053020267749	0.0	0.1796053020267749		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int,int,double#119	0.06788442333021306	0.07692307692307693	0.14480750025328998	data[DSCompiler.getCompiler(index,order).getSize()] > value	_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int,double#93	0.06726727939963124	0.06741998624632421	0.13468726564595546	this.data[0] >= value	_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#add#?,double[],int,double[],int,double[],int#738	0.0944911182523068	0.0	0.0944911182523068		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#void#checkCompatibility#?,DSCompiler#1757	0.08192319205190406	0.0	0.08192319205190406		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#double#getValue#?#231	0.08164965809277261	0.0	0.08164965809277261		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,DSCompiler#73	0.06696495301824251	0.0	0.06696495301824251		_
org.apache.commons.math3.analysis.differentiation.DerivativeStructure#?#DerivativeStructure#?,int,int#82	0.06696495301824251	0.0	0.06696495301824251		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#getSize#?#642	0.06666666666666667	0.0	0.06666666666666667		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#DSCompiler#getCompiler#?,int,int#192	0.06608186004550898	0.0	0.06608186004550898		_
org.apache.commons.math3.util.FastMath#double#sqrt#?,double#379	0.03090485136077065	0.0	0.03090485136077065		_
org.apache.commons.math3.util.FastMath#int#max#?,int,int#3489	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[]#compileLowerIndirection#?,int,int,DSCompiler,DSCompiler#323	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][][]#compileMultiplicationIndirection#?,int,int,DSCompiler,DSCompiler,int[]#369	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][][]#compileCompositionIndirection#?,int,int,DSCompiler,DSCompiler,int[][],int[][]#490	0.0	0.0	0.0		_
org.apache.commons.math3.util.FastMath#int#min#?,int,int#3421	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#getPartialDerivativeIndex#?,int,int,int[][],int#573	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][]#compileDerivativesIndirection#?,int,int,DSCompiler,DSCompiler#279	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int#convertIndex#?,int,int,int[][],int,int,int[][]#605	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#int[][]#compileSizes#?,int,int,DSCompiler#247	0.0	0.0	0.0		_
org.apache.commons.math3.analysis.differentiation.DSCompiler#?#DSCompiler#?,int,int,DSCompiler,DSCompiler#173	0.0	0.0	0.0		_
