line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#void#draw#?,Graphics2D,Rectangle2D,Point2D,PlotState,PlotRenderingInfo#2543	Infinity	Infinity	Infinity	state == null	_
org.jfree.chart.plot.CategoryPlot#List#datasetsMappedToDomainAxis#?,int#3105	242.0	242.0	242.0	!(datasetIndex < this.datasets.size())	_
org.jfree.chart.plot.CategoryPlot#AxisSpace#calculateRangeAxisSpace#?,Graphics2D,Rectangle2D,AxisSpace#2488	242.0	242.0	242.0	yAxis != null	_
org.jfree.chart.axis.CategoryLabelPosition#float#getWidthRatio#?#228	242.0	242.0	242.0	this.widthRatio!=0	_
org.jfree.chart.axis.CategoryAxis#AxisSpace#reserveSpace#?,Graphics2D,Plot,Rectangle2D,RectangleEdge,AxisSpace#736	242.0	242.0	242.0	!(space == null)	_
org.jfree.chart.plot.CategoryPlot#AxisLocation#getDomainAxisLocation#?,int#722	242.0	242.0	242.0	index < this.domainAxisLocations.size()	_
org.jfree.chart.plot.CategoryPlot#AxisSpace#calculateDomainAxisSpace#?,Graphics2D,Rectangle2D,AxisSpace#2441	242.0	242.0	242.0	xAxis != null	_
org.jfree.chart.plot.CategoryPlot#RectangleEdge#getRangeAxisEdge#?,int#1070	242.0	242.0	242.0	!(result == null)	_
org.jfree.chart.plot.CategoryPlot#Map#drawAxes#?,Graphics2D,Rectangle2D,Rectangle2D,PlotRenderingInfo#2697	242.0	242.0	242.0	yAxis != null	_
org.jfree.chart.axis.CategoryAxis#List#refreshTicks#?,Graphics2D,AxisState,Rectangle2D,RectangleEdge#976	242.0	242.0	242.0	!(dataArea.getHeight() <= 0.0 || dataArea.getWidth() < 0.0)	_
org.jfree.chart.axis.CategoryLabelPositions#CategoryLabelPosition#getLabelPosition#?,RectangleEdge#290	242.0	242.0	242.0	!(edge == RectangleEdge.TOP)	_
org.jfree.chart.plot.CategoryPlot#AxisLocation#getRangeAxisLocation#?,int#977	242.0	242.0	242.0	index < this.rangeAxisLocations.size()	_
org.jfree.chart.axis.AxisState#double#getMax#?#184	242.0	242.0	242.0	this.max>=0	_
org.jfree.chart.plot.CategoryPlot#LegendItemCollection#getLegendItems#?#1728	242.0	242.0	242.0	result == null	_
org.jfree.chart.plot.CategoryPlot#RectangleEdge#getDomainAxisEdge#?,int#817	242.0	242.0	242.0	location != null	_
org.jfree.chart.plot.CategoryPlot#List#getCategoriesForAxis#?,CategoryAxis#3257	242.0	242.0	185.0	!(iterator.hasNext())	_
org.jfree.chart.plot.Plot#RectangleEdge#resolveRangeAxisLocation#?,AxisLocation,PlotOrientation#1385	242.0	242.0	149.23333333333332	!(orientation == PlotOrientation.HORIZONTAL)	_
org.jfree.chart.plot.CategoryPlot#AxisLocation#getDomainAxisLocation#?#708	242.0	0.0	145.2		_
org.jfree.chart.plot.CategoryPlot#AxisSpace#calculateAxisSpace#?,Graphics2D,Rectangle2D#2508	242.0	0.0	145.2		_
org.jfree.chart.axis.CategoryLabelPosition#CategoryLabelWidthType#getWidthType#?#219	242.0	0.0	145.2		_
org.jfree.chart.axis.AxisState#void#setMax#?,double#193	242.0	0.0	145.2		_
org.jfree.chart.axis.Axis#AxisState#drawLabel#?,String,Graphics2D,Rectangle2D,Rectangle2D,RectangleEdge,AxisState,PlotRenderingInfo#1192	161.33333333333334	161.33333333333334	96.8		GT
org.jfree.chart.plot.PlotRenderingInfo#ChartRenderingInfo#getOwner#?#103	121.0	0.0	72.6		_
org.jfree.chart.plot.PlotRenderingInfo#void#setPlotArea#?,Rectangle2D#126	96.8	0.0	58.08		_
org.jfree.chart.axis.CategoryAxis#Paint#getTickLabelPaint#?,Comparable#447	54.0	54.0	54.0	!(category == null)	_
org.jfree.chart.axis.CategoryLabelPosition#double#getAngle#?#210	54.0	54.0	54.0	this.angle==0	_
