line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.linear.CholeskyDecompositionImpl#?#CholeskyDecompositionImpl#?,RealMatrix,double,double#141	0.5	0.5	1.0	q > i	GT
org.apache.commons.math.linear.AbstractRealMatrix#String#toString#?#999	0.25	0.25	0.5	i > 0	_
org.apache.commons.math.linear.CholeskyDecompositionImpl#?#CholeskyDecompositionImpl#?,RealMatrix#74	0.5	0.0	0.5		_
org.apache.commons.math.linear.CholeskyDecompositionImpl#RealMatrix#getLT#?#164	0.16666666666666666	0.2	0.3666666666666667	!(cachedLT == null)	_
org.apache.commons.math.linear.CholeskyDecompositionImpl#RealMatrix#getL#?#155	0.16666666666666666	0.16666666666666666	0.3333333333333333	cachedL == null	_
org.apache.commons.math.linear.DenseRealMatrix#DenseRealMatrix#multiply#?,DenseRealMatrix#587	0.03125	0.03125	0.0625	l < lEnd - 3	_
org.apache.commons.math.linear.DenseRealMatrix#double[][]#getData#?#626	0.029197080291970802	0.029197080291970802	0.058394160583941604	!(p < pEnd)	_
org.apache.commons.math.linear.MatrixUtils#RealMatrix#createRealMatrix#?,double[][]#88	0.047619047619047616	0.0	0.047619047619047616		_
org.apache.commons.math.linear.DenseRealMatrix#double[][]#toBlocksLayout#?,double[][]#227	0.023121387283236993	0.023121387283236993	0.046242774566473986	jBlock < blockColumns	_
org.apache.commons.math.linear.DenseRealMatrix#?#DenseRealMatrix#?,int,int,double[][],boolean#156	0.022857142857142857	0.022857142857142857	0.045714285714285714	!(copyArray)	_
org.apache.commons.math.linear.AbstractRealMatrix#boolean#isSquare#?#639	0.0392156862745098	0.0	0.0392156862745098		_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?,int,int#61	0.015209125475285171	0.015209125475285171	0.030418250950570342	!(columnDimension <= 0)	_
org.apache.commons.math.linear.DenseRealMatrix#DenseRealMatrix#transpose#?#1297	0.014492753623188406	0.014492753623188406	0.028985507246376812	!(p < pEnd)	_
org.apache.commons.math.linear.MatrixUtils#void#checkMultiplicationCompatible#?,AnyMatrix,AnyMatrix#627	0.013888888888888888	0.013888888888888888	0.027777777777777776	!(left.getColumnDimension() != right.getRowDimension())	_
org.apache.commons.math.linear.DenseRealMatrix#DenseRealMatrix#multiply#?,RealMatrix#492	0.02564102564102564	0.0	0.02564102564102564		_
org.apache.commons.math.linear.DenseRealMatrix#?#DenseRealMatrix#?,double[][]#126	0.023121387283236993	0.0	0.023121387283236993		_
org.apache.commons.math.linear.DenseRealMatrix#int#blockHeight#?,int#1626	0.02127659574468085	0.0	0.02127659574468085		_
org.apache.commons.math.linear.DenseRealMatrix#int#getColumnDimension#?#1323	0.018433179723502304	0.0	0.018433179723502304		_
org.apache.commons.math.linear.DenseRealMatrix#int#getRowDimension#?#1317	0.0182648401826484	0.0	0.0182648401826484		_
org.apache.commons.math.linear.DenseRealMatrix#int#blockWidth#?,int#1635	0.017467248908296942	0.0	0.017467248908296942		_
org.apache.commons.math.linear.DenseRealMatrix#double[][]#createBlocksLayout#?,int,int#270	0.006369426751592357	0.006369426751592357	0.012738853503184714	jBlock < blockColumns	_
org.apache.commons.math.linear.DenseRealMatrix#double#getEntry#?,int,int#1215	0.008771929824561403	0.0	0.008771929824561403		_
org.apache.commons.math.linear.DenseRealMatrix#?#DenseRealMatrix#?,int,int#107	0.006369426751592357	0.0	0.006369426751592357		_
