line	original_score	max_predicate_score	total	predicate	label
org.jfree.chart.plot.CategoryPlot#void#configureRangeAxes#?#1147	0.0	0.19411905835046508	0.11647143501027904	!(axis != null)	_
org.jfree.chart.plot.CategoryPlot#void#datasetChanged#?,DatasetChangeEvent#1858	0.0	0.18910069657125728	0.11346041794275435	!(yAxis != null)	_
org.jfree.chart.plot.CategoryPlot#?#CategoryPlot#?,CategoryDataset,CategoryAxis,ValueAxis,CategoryItemRenderer#489	0.0	0.18374751373113382	0.11024850823868029	!(rangeAxis != null)	_
org.jfree.chart.plot.CategoryPlot#ValueAxis#getRangeAxis#?,int#898	0.0	0.15860823690448536	0.09516494214269121	result == null	_
org.jfree.chart.plot.CategoryPlot#void#configureDomainAxes#?#869	0.0	0.14812774484447389	0.08887664690668433	!(axis != null)	_
org.jfree.chart.plot.XYPlot#?#XYPlot#?,XYDataset,ValueAxis,ValueAxis,XYItemRenderer#564	0.0	0.09658894241464464	0.05795336544878678	!(rangeAxis != null)	_
org.jfree.chart.plot.XYPlot#void#configureRangeAxes#?#1162	0.0	0.0957427484834134	0.05744564909004803	!(axis != null)	_
org.jfree.chart.plot.XYPlot#void#configureDomainAxes#?#862	0.0	0.09069529938516845	0.05441717963110106	!(axis != null)	_
org.jfree.chart.util.AbstractObjectList#int#size#?#149	0.0	0.015393708473521523	0.009236225084112913	this.size>0	_
org.jfree.chart.util.RectangleInsets#?#RectangleInsets#?,UnitType,double,double,double,double#124	0.0	3.231699253768523E-4	1.9390195522611136E-4	right==top	_
org.jfree.chart.plot.CategoryPlot#void#addRangeMarker#?,int,Marker,Layer,boolean#2248	0.0	0.0	0.0	layer == Layer.BACKGROUND	_
org.jfree.chart.plot.CategoryPlot#CategoryDataset#getDataset#?,int#1175	0.0	0.0	0.0	this.datasets.size() > index	_
org.jfree.chart.plot.XYPlot#void#datasetChanged#?,DatasetChangeEvent#4035	0.0	0.0	0.0	!(getParent() != null)	_
org.jfree.chart.plot.CategoryPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2436	0.0	0.0	0.0	!(marker == null)	GT
org.jfree.chart.plot.CategoryPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2158	0.0	0.0	0.0	layer == Layer.FOREGROUND	GT
org.jfree.chart.plot.CategoryPlot#void#setRangeAxisLocation#?,int,AxisLocation,boolean#1086	0.0	0.0	0.0	!(notify)	_
org.jfree.chart.plot.XYPlot#boolean#removeRangeMarker#?,int,Marker,Layer,boolean#2517	0.0	0.0	0.0	!(marker == null)	GT
org.jfree.chart.util.AbstractObjectList#?#AbstractObjectList#?,int,int#97	0.0	0.0	0.0	increment==initialCapacity	_
org.jfree.chart.plot.XYPlot#boolean#removeDomainMarker#?,int,Marker,Layer,boolean#2285	0.0	0.0	0.0	layer == Layer.FOREGROUND	GT
org.jfree.chart.plot.Marker#?#Marker#?,Paint,Stroke,Paint,Stroke,float#175	0.0	0.0	0.0	!(paint == null)	_
org.jfree.chart.plot.Marker#void#setLabelOffsetType#?,LengthAdjustmentType#490	0.0	0.0	0.0	!(adj == null)	_
org.jfree.chart.plot.CategoryPlot#void#setDomainAxisLocation#?,int,AxisLocation,boolean#800	0.0	0.0	0.0	!(index == 0 && location == null)	_
org.jfree.chart.util.AbstractObjectList#Object#get#?,int#110	0.0	0.0	0.0	index >= 0 && index < this.size	_
org.jfree.chart.util.AbstractObjectList#void#set#?,int,Object#132	0.0	0.0	0.0	Math.max(this.size,index + 1)>=index	_
org.jfree.chart.plot.XYPlot#XYDataset#getDataset#?,int#1274	0.0	0.0	0.0	this.datasets.size() > index	_
