line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String#1747	0.5	0.5	0.5	(indexOf(str,0))!= 0	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1203	0.5	0.5	0.5	len > 0	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1205	0.5	0.5	0.5	index >= 0	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1187	0.5	0.5	0.5	index >= 0	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1189	0.5	0.5	0.5	index >= len	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1185	0.5	0.5	0.5	len > 0	_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1202	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1204	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1206	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteFirst#?,String#1209	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1186	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1188	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#StrBuilder#deleteAll#?,String#1184	0.5	0.0	0.25		_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1762	0.2222222222222222	0.2222222222222222	0.2222222222222222	!(str == null || startIndex >= size)	_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1766	0.2222222222222222	0.2222222222222222	0.2222222222222222	!(strLen == 1)	_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1769	0.2222222222222222	0.2222222222222222	0.2222222222222222	!(strLen == 0)	_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1772	0.2222222222222222	0.2222222222222222	0.2222222222222222	!(strLen > size)	_
org.apache.commons.lang.text.StrBuilder#void#deleteImpl#?,int,int,int#1115	0.1333333333333333	0.19999999999999996	0.16666666666666663	size < startIndex	_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1761	0.2222222222222222	0.0	0.1111111111111111		_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1765	0.2222222222222222	0.0	0.1111111111111111		_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1775	0.2222222222222222	0.0	0.1111111111111111		_
org.apache.commons.lang.text.StrBuilder#int#indexOf#?,String,int#1776	0.2222222222222222	0.0	0.1111111111111111		GT
org.apache.commons.lang.text.StrBuilder#void#deleteImpl#?,int,int,int#1114	0.1333333333333333	0.0	0.06666666666666665		_
