line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.RhinoErrorReporter#void#error#?,String,String,int,String,int#119	0.0	0.0350877192982456	0.0350877192982456	lineOffset>=line	_
com.google.javascript.jscomp.JSError#JSError#make#?,String,int,int,CheckLevel,DiagnosticType,String#98	0.0	0.023529411764705882	0.023529411764705882	lineno<charno	_
com.google.javascript.jscomp.RhinoErrorReporter#JSError#makeError#?,String,String,int,int,CheckLevel#125	0.0	0.0024824162184526252	0.0024824162184526252	lineOffset>=line	_
com.google.javascript.jscomp.JSError#?#JSError#?,String,Node,int,int,DiagnosticType,CheckLevel,String#141	0.0	0.0015015000563062522	0.0015015000563062522	lineno<charno	_
com.google.javascript.jscomp.DiagnosticType#int#hashCode#?#121	0.0	8.76070496250133E-4	8.76070496250133E-4	key.hashCode()>0	_
com.google.javascript.jscomp.ComposeWarningsGuard$GuardComparator#int#compare#?,WarningsGuard,WarningsGuard#69	0.0	8.181385177719475E-4	8.181385177719475E-4	orderOfAddition.get(b).intValue() - orderOfAddition.get(a).intValue()!=0	_
com.google.javascript.jscomp.JSError#int#getCharno#?#200	0.0	1.2316762069383016E-4	1.2316762069383016E-4	charno>0	_
com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator#int#compare#?,ErrorWithLevel,ErrorWithLevel#178	0.0	2.019123115022244E-6	2.019123115022244E-6	p1.error.description.compareTo(p2.error.description)==0	_
com.google.javascript.rhino.Node#int#getType#?#624	0.0	0.0	0.0	type>0	_
com.google.javascript.rhino.Node$AbstractPropListItem#int#getType#?#379	0.0	0.0	0.0	propType>0	_
com.google.javascript.jscomp.WarningsGuard#int#getPriority#?#84	0.0	0.0	0.0	Priority.DEFAULT.value>0	_
com.google.javascript.rhino.InputId#int#hashCode#?#61	0.0	0.0	0.0	id.hashCode()!=0	_
com.google.javascript.jscomp.SuppressDocWarningsGuard#int#getPriority#?#94	0.0	0.0	0.0	WarningsGuard.Priority.SUPPRESS_DOC.value>=0	_
