line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#943	0.9976009031893877	0.9991519434628975	0.9974320091312854	!(first == null || first.getType() != Token.NAME)	_
com.google.javascript.jscomp.RemoveUnusedPrototypeProperties#void#removeUnusedSymbols#?,Collection<NameInfo>#87	0.9974601382813603	0.9974601382813603	0.9972069043957599	specializationState == null	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#void#processPrototypeParent#?,NodeTraversal,Node#378	0.9940936577134017	0.9981643603501835	0.995554230011014	!(dest.getType() == Token.STRING && NodeUtil.isExprAssign(grandParent) && NodeUtil.isVarOrSimpleAssignLhs(n,parent))	_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1076	0.9942334739803095	0.9942334739803095	0.9942334739803094	cursor != null	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#boolean#isPrototypePropertyAssign#?,Node#326	0.9938141431182342	0.9938141431182342	0.9938141431182342	child.getType() == Token.STRING && child.getString().equals("prototype")	GT
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#void#addSymbolUse#?,String,JSModule,SymbolType#294	0.9928370786516855	0.9954935924517673	0.9932311070143769	!(def != anonymousNode)	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessExternProperties#void#visit#?,NodeTraversal,Node,Node#412	0.9939538807649044	0.9939538807649044	0.9929493232211779	n.getType() == Token.GETPROP	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#void#visit#?,NodeTraversal,Node,Node#223	0.9931160438325373	0.9931160438325373	0.9926977722992651	propName.equals("prototype")	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#boolean#shouldTraverse#?,NodeTraversal,Node,Node#206	0.9938141431182342	0.9938141431182342	0.9922256011620441	isPrototypePropertyAssign(n)	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$NameInfo#boolean#markReference#?,JSModule#662	0.9911665731912506	0.9936744447568174	0.9921697218174773	!(moduleGraph != null)	_
com.google.javascript.jscomp.AnalyzePrototypeProperties#?#AnalyzePrototypeProperties#?,AbstractCompiler,JSModuleGraph,boolean,boolean#122	0.9936744447568174	0.9936744447568174	0.9921697218174773	!(moduleGraph != null)	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties#boolean#processGlobalFunctionDeclaration#?,NodeTraversal,Node,Node,Node#345	0.9920011226494527	0.9920011226494527	0.9918341190934512	!(isGlobalFunctionDeclaration(t,parent) || firstChild != null && isGlobalFunctionDeclaration(t,firstChild))	_
com.google.javascript.jscomp.AnalyzePrototypeProperties#void#process#?,Node,Node#146	0.9922796181920269	0.9922796181920269	0.9916117911915612	!canModifyExterns	_
com.google.javascript.jscomp.AnalyzePrototypeProperties#NameInfo#getNameInfoForName#?,String,SymbolType#178	0.9915836723243091	0.9915836723243091	0.991333412844474	map.containsKey(name)	_
com.google.javascript.jscomp.AnalyzePrototypeProperties$PropagateReferences#boolean#traverseEdge#?,NameInfo,JSModule,NameInfo#424	0.9911665731912506	0.9911665731912506	0.9911665731912506	!(startModule != null && moduleGraph.dependsOn(startModule,edge))	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#845	0.987290502793296	0.987290502793296	0.987290502793296	x != null	_
com.google.javascript.rhino.Node#String#toString#?,boolean,boolean,boolean#920	0.9831710709318499	0.9831710709318499	0.9831710709318497	Token.printTrees	_
com.google.javascript.jscomp.NodeUtil#void#removeChild#?,Node,Node#1764	0.951925666576892	0.951925666576892	0.9518487640052014	isStatementBlock(parent) || isSwitchCase(node)	_
com.google.javascript.jscomp.graph.FixedPointGraphTraversal#void#computeFixedPoint#?,DiGraph<N,E>,Set<N>#120	0.9446745957503675	0.948349879259458	0.9414125729600779	!(callback.traverseEdge(sourceValue,edge.getValue(),destNode))	_
com.google.javascript.jscomp.CodeGenerator#String#jsString#?,String#960	0.9381552753815527	0.9381552753815527	0.9381552753815527	i < s.length()	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#632	0.9925582701488345	0.9925582701488345	0.9351766106627861	!(childCount != ((n.getParent() != null && n.getParent().getType() == Token.OBJECTLIT) ? 1 : 0))	_
com.google.javascript.jscomp.CodeGenerator#String#strEscape#?,String,char,String,String,String,CharsetEncoder#1051	0.93505291005291	0.93505291005291	0.93505291005291	!(outputCharsetEncoder != null)	_
com.google.javascript.jscomp.CodeGenerator#void#addJsString#?,String#949	0.9349292421637349	0.9349292421637349	0.934929242163735	cached == null	_
com.google.javascript.rhino.Node#Node#getChildBefore#?,Node#567	0.9262316561844864	0.9262316561844864	0.9262316561844863	!(n == null)	_
com.google.javascript.rhino.Token#String#name#?,int#270	1.0	0.8768295708260977	0.8768295708260976	!(!printNames)	_
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1114	0.8261072805889915	0.8261072805889915	0.8261072805889915	(1)>= 0	_
com.google.javascript.jscomp.CodeConsumer#void#endFunction#?,boolean#169	0.8423498570066731	0.8785732040765598	0.8251170189547248	!(statementContext)	_
com.google.javascript.jscomp.SyntacticScopeCreator#void#scanVars#?,Node,Node#130	0.8188347040426271	0.8188347040426271	0.8188347040426271	!(NodeUtil.isFunctionExpression(n))	_
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1426	0.9998585572842997	0.9998585572842997	0.809463554225876	res != null	_
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1384	0.9998585572842997	0.9998585572842997	0.8092659475228687	diff != null	_
com.google.javascript.jscomp.AstValidator#void#validateBlock#?,Node#277	0.8064111339265343	0.8064111339265343	0.8064111339265343	c != null	_
com.google.javascript.jscomp.CodePrinter$CompactCodePrinter#void#maybeLineBreak#?#448	0.8032954545454546	0.8032954545454546	0.8032954545454546	ch == ';'	_
com.google.javascript.jscomp.Scope$Var#Node#getInitialValue#?#205	0.821499128413713	0.821499128413713	0.7999710672356786	pType == Token.FUNCTION	_
