line	original_score	max_predicate_score	total	predicate	label
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#long#getFieldValue#?,ReadablePeriod#1460	0.0	0.6439393939393939	0.6439393939393939	value<0	_
org.joda.time.base.AbstractPeriod#int#get#?,DurationFieldType#117	0.0	0.37802197802197807	0.37802197802197807	getValue(index)<0	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#calculatePrintedLength#?,ReadablePeriod,Locale#1802	0.0	0.032567049808429116	0.032567049808429116	sum==0	_
org.joda.time.base.BasePeriod#int#getValue#?,int#329	0.0	0.02780125857048934	0.02780125857048934	iValues[index]<0	_
org.joda.time.format.PeriodFormatterBuilder$Composite#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1793	0.0	0.027315123251165883	0.027315123251165883	sum==0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#getFieldType#?#1531	0.0	0.005357142857142859	0.005357142857142859	iFieldType<=0	_
org.joda.time.format.PeriodFormatterBuilder$Literal#int#calculatePrintedLength#?,ReadablePeriod,Locale#1553	0.0	0.002150537634408603	0.002150537634408603	iText.length()!=0	_
org.joda.time.base.AbstractPeriod#int#indexOf#?,DurationFieldType#137	0.0	4.044898371928403E-4	4.044898371928403E-4	getPeriodType().indexOf(type)>0	_
org.joda.time.PeriodType#int#indexOf#?,DurationFieldType#650	0.0	3.4817665383910564E-4	3.4817665383910564E-4	i!=0	_
org.joda.time.format.FormatUtils#int#calculateDigitCount#?,long#343	0.0	0.0	0.0	(value < 10 ? 1 : (value < 100 ? 2 : (value < 1000 ? 3 : (value < 10000 ? 4 : ((int)(Math.log(value) / LOG_10) + 1)))))>=0	_
org.joda.time.format.PeriodFormatterBuilder$SimpleAffix#int#calculatePrintedLength#?,int#864	0.0	0.0	0.0	iText.length()>0	_
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#calculatePrintedLength#?,ReadablePeriod,Locale#1117	0.0	0.0	0.0	sum!=0	GT
org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#int#countFieldsToPrint#?,ReadablePeriod,int,Locale#1083	0.0	0.0	0.0	1>=0	_
org.joda.time.format.PeriodFormatterBuilder$Separator#int#calculatePrintedLength#?,ReadablePeriod,Locale#1654	0.0	0.0	0.0	sum!=0	_
org.joda.time.base.AbstractPeriod#int#size#?#56	0.0	0.0	0.0	getPeriodType().size()!=0	_
org.joda.time.PeriodType#int#size#?#617	0.0	0.0	0.0	iTypes.length!=0	_
