line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.time.SpreadsheetDate#int#compare#?,SerialDate#308	0.31622776601683794	0.5773502691896258	0.8935780352064637	(this.serial - other.toSerial())> 0	_
org.jfree.data.time.Day#int#compareTo#?,Object#423	0.31622776601683794	0.5773502691896258	0.8935780352064637	(result)< 0	_
org.jfree.data.time.TimeSeries#int#getIndex#?,RegularTimePeriod#435	0.3333333333333333	0.3779644730092272	0.7112978063425606	(Collections.binarySearch(this.data,dummy))< 0	_
org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,RegularTimePeriod,RegularTimePeriod#921	0.7071067811865475	0.0	0.7071067811865475		GT
org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,int,int#883	0.7071067811865475	0.0	0.7071067811865475		_
org.jfree.data.time.TimeSeriesDataItem#int#compareTo#?,Object#215	0.2672612419124244	0.4082482904638631	0.6755095323762874	(result)< 0	_
org.jfree.data.time.Day#long#getSerialIndex#?#302	0.2672612419124244	0.2672612419124244	0.5345224838248488	(this.serialDate.toSerial())> 0	_
org.jfree.data.time.TimeSeries#int#getItemCount#?#240	0.19245008972987526	0.20412414523193154	0.39657423496180677	(this.data.size())== 0	_
org.jfree.data.time.TimeSeries#?#TimeSeries#?,Comparable#142	0.2886751345948129	0.0	0.2886751345948129		_
org.jfree.data.time.SpreadsheetDate#int#toSerial#?#211	0.13608276348795434	0.13608276348795434	0.2721655269759087	(this.serial)>= 0	_
org.jfree.data.time.TimeSeries#void#add#?,TimeSeriesDataItem,boolean#516	0.23570226039551587	0.0	0.23570226039551587		_
org.jfree.data.time.TimeSeries#RegularTimePeriod#getTimePeriod#?,int#372	0.22360679774997896	0.0	0.22360679774997896		_
org.jfree.data.time.TimeSeries#void#removeAgedItems#?,boolean#741	0.22360679774997896	0.0	0.22360679774997896		_
org.jfree.data.time.TimeSeries#void#add#?,RegularTimePeriod,double#561	0.2182178902359924	0.0	0.2182178902359924		_
org.jfree.data.time.TimeSeries#void#add#?,RegularTimePeriod,double,boolean#575	0.2182178902359924	0.0	0.2182178902359924		_
org.jfree.data.time.TimeSeries#TimeSeriesDataItem#getDataItem#?,int#341	0.20412414523193154	0.0	0.20412414523193154		_
org.jfree.data.time.TimeSeriesDataItem#RegularTimePeriod#getPeriod#?#116	0.19611613513818404	0.0	0.19611613513818404		_
org.jfree.data.time.TimeSeriesDataItem#?#TimeSeriesDataItem#?,RegularTimePeriod,double#107	0.1889822365046136	0.0	0.1889822365046136		_
org.jfree.data.time.TimeSeries#?#TimeSeries#?,Comparable,String,String,Class#178	0.18569533817705186	0.0	0.18569533817705186		_
org.jfree.data.time.Day#SerialDate#getSerialDate#?#183	0.18257418583505536	0.0	0.18257418583505536		_
org.jfree.data.time.TimeSeriesDataItem#?#TimeSeriesDataItem#?,RegularTimePeriod,Number#96	0.18257418583505536	0.0	0.18257418583505536		_
org.jfree.data.time.Day#long#getFirstMillisecond#?,Calendar#324	0.08606629658238704	0.0936585811581694	0.17972487774055645	(calendar.getTime().getTime())> 0	_
org.jfree.data.time.Day#long#getLastMillisecond#?,Calendar#346	0.08606629658238704	0.09128709291752768	0.17735338949991472	(calendar.getTime().getTime())>= 0	_
org.jfree.data.time.SerialDate#int#leapYearCount#?,int#529	0.08606629658238704	0.08770580193070293	0.17377209851308997	(leap4 - leap100 + leap400)> 0	_
org.jfree.data.time.SpreadsheetDate#int#getYYYY#?#231	0.08606629658238704	0.08606629658238704	0.17213259316477408	(this.year)>= 0	_
org.jfree.data.time.SpreadsheetDate#int#calcSerial#?,int,int,int#457	0.10050378152592121	0.08606629658238704	0.17213259316477408	(yy + mm + dd+ 1)> 0	_
org.jfree.data.time.SpreadsheetDate#int#getDayOfMonth#?#249	0.08606629658238704	0.08606629658238704	0.17213259316477408	(this.day)> 0	_
org.jfree.data.time.SpreadsheetDate#int#getMonth#?#240	0.08606629658238704	0.08606629658238704	0.17213259316477408	(this.month)> 0	_
org.jfree.data.time.SerialDate#int#lastDayOfMonth#?,int,int#546	0.07738232325341368	0.07738232325341368	0.15476464650682736	(result)!= 0	_
org.jfree.data.time.Day#?#Day#?,int,int,int#124	0.09901475429766744	0.0	0.09901475429766744		_
org.jfree.data.time.SerialDate#boolean#isLeapYear#?,int#500	0.09667364890456635	0.0	0.09667364890456635		_
org.jfree.data.time.Day#void#peg#?,Calendar#250	0.08606629658238704	0.0	0.08606629658238704		_
org.jfree.data.time.SerialDate#SerialDate#createInstance#?,int,int,int#792	0.08606629658238704	0.0	0.08606629658238704		_
org.jfree.data.time.SpreadsheetDate#?#SpreadsheetDate#?,int,int,int#118	0.08606629658238704	0.0	0.08606629658238704		_
org.jfree.data.general.Series#void#fireSeriesChanged#?#313	0.06401843996644799	0.0	0.06401843996644799		_
org.jfree.data.general.Series#void#notifyListeners#?,SeriesChangeEvent#326	0.06401843996644799	0.0	0.06401843996644799		_
org.jfree.data.general.SeriesChangeEvent#?#SeriesChangeEvent#?,Object#61	0.06401843996644799	0.0	0.06401843996644799		_
org.jfree.data.general.Series#?#Series#?,Comparable#102	0.06142951168339512	0.0	0.06142951168339512		_
org.jfree.data.general.Series#?#Series#?,Comparable,String#112	0.06142951168339512	0.0	0.06142951168339512		_
