line	original_score	max_predicate_score	total	predicate	label
org.joda.time.IllegalFieldValueException#void#prependMessage#?,String#323	1.0	1.0	2.0	!(iMessage == null)	_
org.joda.time.format.DateTimeParserBucket#long#computeMillis#?,boolean,String#374	1.0	1.0	2.0	text != null	_
org.joda.time.format.DateTimeFormatter#int#parseInto#?,ReadWritableInstant,String,int#702	0.282842712474619	0.282842712474619	0.565685424949238	!(instant == null)	GT
org.joda.time.format.DateTimeParserBucket#int#compareReverse#?,DurationField,DurationField#517	0.2	0.2	0.28233869695926184	b == null || !b.isSupported()	_
org.joda.time.IllegalFieldValueException#String#createMessage#?,String,Number,Number,Number,String#50	0.14509525002200233	0.14509525002200233	0.2793264610648072	!(upperBound == null)	_
org.joda.time.format.DateTimeFormatter#DateTimeFormatter#withLocale#?,Locale#190	0.13545709229571928	0.13545709229571928	0.27091418459143857	!(locale == getLocale() || (locale != null && locale.equals(getLocale())))	_
org.joda.time.field.BaseDurationField#int#compareTo#?,DurationField#149	0.20203050891044214	0.20203050891044214	0.27038910161290847	thisMillis == otherMillis	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#long#previousTransition#?,long#1612	0.12309149097933272	0.12309149097933272	0.24618298195866545	prev > Long.MIN_VALUE	_
org.joda.time.chrono.BasicMonthOfYearDateTimeField#long#set#?,long,int#304	0.18257418583505536	0.18257418583505536	0.2288486671733301	thisDom > maxDom	_
org.joda.time.MutableDateTime#?#MutableDateTime#?,int,int,int,int,int,int,int,DateTimeZone#351	0.22645540682891913	0.0	0.22645540682891913		_
org.joda.time.chrono.BasicChronology#int#getYear#?,long#418	0.18257418583505536	0.18257418583505536	0.21916227249828546	diff < 0	_
org.joda.time.format.DateTimeFormat#DateTimeFormatter#createFormatterForPattern#?,String#674	0.10570328451633798	0.10540925533894598	0.21081851067789195	!(pattern == null || pattern.length() == 0)	_
org.joda.time.field.FieldUtils#void#verifyValueBounds#?,DateTimeField,int,int,int#217	0.16329931618554522	0.16329931618554522	0.20147949360160583	(value < lowerBound) || (value > upperBound)	_
org.joda.time.format.DateTimeParserBucket#void#sort#?,SavedField[],int#421	0.1873171623163388	0.08006407690254357	0.1873171623163388		_
org.joda.time.format.DateTimeParserBucket$SavedField#int#compareTo#?,SavedField#502	0.08362420100070908	0.08362420100070908	0.16681323408147938	result != 0	_
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter#int#parseInto#?,DateTimeParserBucket,String,int#1356	0.08838834764831843	0.08838834764831843	0.16588677347753128	c < '0' || c > '9'	_
org.joda.time.format.DateTimeParserBucket$SavedField#long#set#?,long,boolean#487	0.08192319205190406	0.0831890330807703	0.16511222513267437	!(reset)	_
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral#int#parseInto#?,DateTimeParserBucket,String,int#1247	0.08290266722896783	0.08290266722896783	0.1625845745179274	!(a != b)	_
org.joda.time.format.DateTimeParserBucket#void#saveField#?,SavedField#265	0.07844645405527362	0.07844645405527362	0.15689290811054724	!(savedFieldsCount == savedFields.length || iSavedFieldsShared)	_
org.joda.time.chrono.GregorianChronology#long#calculateFirstDayOfYearMillis#?,int#212	0.07669649888473704	0.08006407690254357	0.1567605757872806	!(isLeapYear(year))	_
org.joda.time.format.DateTimeFormatterBuilder$Composite#int#parseInto#?,DateTimeParserBucket,String,int#2735	0.07761505257063328	0.07761505257063328	0.15523010514126656	!(elements == null)	_
org.joda.time.format.DateTimeFormatter#DateTimeParser#requireParser#?#929	0.07527099294949814	0.07527099294949814	0.1503296554535783	!(parser == null)	_
org.joda.time.format.DateTimeFormatter#Locale#getLocale#?#204	0.13545709229571928	0.0	0.13545709229571928		_
org.joda.time.IllegalFieldValueException#?#IllegalFieldValueException#?,DateTimeFieldType,Number,Number,Number#112	0.1318760946791574	0.0	0.1318760946791574		_
org.joda.time.chrono.BasicChronology#int#getDaysInMonthMax#?,long#584	0.12356041264304309	0.0	0.12356041264304309		_
org.joda.time.DateTimeZone#int#getOffsetFromLocal#?,long#928	0.051536807203007316	0.06933752452815364	0.12087433173116097	!(offsetLocal >= 0)	_
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone#int#getOffset#?,long#1535	0.05679618342470648	0.05679618342470648	0.11359236684941296	i > 0	_
org.joda.time.format.DateTimeFormatter#Chronology#selectChronology#?,Chronology#944	0.052414241836095915	0.0594438298277764	0.11185807166387232	!(iChrono != null)	_
org.joda.time.chrono.BasicChronology#YearInfo#getYearInfo#?,int#748	0.07216878364870323	0.07216878364870323	0.10744703575339114	info == null || info.iYear != year	_
org.joda.time.chrono.ZonedChronology#long#localToUTC#?,long#141	0.053760333057047034	0.053760333057047034	0.10728910581426596	!(offset != zone.getOffset(localInstant))	_
