line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.lang3.SystemUtils#int#toVersionInt#?,int[]#1796	0.9898705683736636	1.0	1.9898705683736635	javaVersions.length==intVersion	_
org.apache.commons.lang3.SystemUtils#int[]#toJavaVersionIntArray#?,String,int#1716	0.9994318181818183	0.9994318181818183	1.988745653952347	version == null	_
org.apache.commons.lang3.SystemUtils#float#toJavaVersionInt#?,String#1673	1.0	0.0	1.0		GT
org.apache.commons.lang3.SystemUtils#boolean#getOSMatchesName#?,String#1442	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#float#getJavaVersionAsFloat#?#1364	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#float#toVersionFloat#?,int[]#1753	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#boolean#isOSNameMatch#?,String,String#1617	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#String#getSystemProperty#?,String#1462	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#boolean#isOSMatch#?,String,String,String,String#1598	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#String#getJavaVersionTrimmed#?#1410	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#boolean#isJavaVersionMatch#?,String,String#1575	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#boolean#getOSMatches#?,String,String#1431	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#boolean#getJavaVersionMatches#?,String#1401	0.0	0.0	0.0		_
org.apache.commons.lang3.SystemUtils#int#getJavaVersionAsInt#?#1388	0.0	0.0	0.0		_
