line	original_score	max_predicate_score	total	predicate	label
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldShift#?,Node,Node,Node#658	0.0	1.0	1.0	right.getDouble()<=lval	GT
com.google.javascript.rhino.Node#String#checkTreeEquals#?,Node#1376	0.0	0.9991983967935872	0.9991983967935872	diff != null	_
com.google.javascript.rhino.Node#void#toString#?,StringBuilder,boolean,boolean,boolean#973	0.0	0.2907801418439716	0.2907801418439716	!(lineno != -1)	_
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher#Node#processUnaryExpression#?,UnaryExpression#810	0.0	0.11232790988735922	0.11232790988735922	type == Token.NEG && operand.getType() == Token.NUMBER	_
com.google.javascript.jscomp.CodeConsumer#void#addNumber#?,double#248	0.0	0.10356103023516237	0.10356103023516237	Math.abs(x) >= 100	_
com.google.javascript.rhino.Node#int[]#getSortedPropTypes#?#852	0.0	0.0374468085106383	0.0374468085106383	x != null	_
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#visit#?,NodeTraversal,Node,Node#85	0.0	0.021164021164021163	0.021164021164021163	somethingChanged	_
com.google.javascript.rhino.Node#void#toStringTreeHelper#?,Node,int,Appendable#1071	0.0	0.010631229235880398	0.010631229235880398	i != level	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldBinaryOperator#?,Node#97	0.0	0.0031840796019900475	0.0031840796019900475	!(right == null)	_
com.google.javascript.jscomp.PeepholeFoldConstants#Node#tryFoldAssign#?,Node,Node,Node#332	0.0	0.0020161290322580627	0.0020161290322580627	!right.hasChildren() || right.getFirstChild().getNext() != right.getLastChild()	_
com.google.javascript.rhino.Node#void#replaceChild#?,Node,Node#713	0.0	0.0019917359208876917	0.0019917359208876917	!(child == first)	_
com.google.javascript.rhino.Node#void#putProp#?,int,Object#833	0.0	0.001174679489460383	0.001174679489460383	!(value != null)	_
com.google.javascript.rhino.Node#NodeMismatch#checkTreeEqualsImpl#?,Node#1415	0.0	0.0010175617241898588	0.0010175617241898588	!(type == node2.getType() && getChildCount() == node2.getChildCount() && getNodeClass(this) == getNodeClass(node2))	_
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#88	0.0	6.865828460999045E-4	6.865828460999045E-4	opstr != null && first != last	_
com.google.javascript.rhino.Node#Node#copyInformationFrom#?,Node#1900	0.0	6.511927788523534E-4	6.511927788523534E-4	getProp(SOURCEFILE_PROP) == null	_
com.google.javascript.jscomp.PrepareAst#void#process#?,Node,Node#64	0.0	4.516983527956699E-4	4.516983527956699E-4	externs != null	_
