line	original_score	max_predicate_score	total	predicate	label
org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,RegularTimePeriod,RegularTimePeriod#921	0.9994484280198566	0.9994484280198566	0.9994484280198566	!(start == null)	GT
org.jfree.data.time.TimeSeries#TimeSeries#createCopy#?,int,int#882	0.9994484280198566	0.9994484280198566	0.9992280424789481	end < start	_
org.jfree.data.time.SpreadsheetDate#int#compare#?,SerialDate#308	0.9950576606260296	0.9988974641675855	0.9973615427509632	(this.serial - other.toSerial())> 0	_
org.jfree.data.time.Day#int#compareTo#?,Object#423	0.9950576606260296	0.9988974641675855	0.9973615427509632	(result)< 0	_
org.jfree.data.time.TimeSeries#int#getIndex#?,RegularTimePeriod#435	0.9956043956043956	0.9966996699669968	0.9962615602219562	(Collections.binarySearch(this.data,dummy))< 0	_
org.jfree.data.time.TimeSeriesDataItem#int#compareTo#?,Object#215	0.9928767123287671	0.9972482113373692	0.9954996117339283	(result)< 0	_
org.jfree.data.time.Day#long#getSerialIndex#?#302	0.9928767123287671	0.9928767123287671	0.9928767123287671	(this.serialDate.toSerial())> 0	_
org.jfree.data.time.TimeSeries#void#add#?,TimeSeriesDataItem,boolean#514	0.9907053034445051	0.9907053034445051	0.9904887558371949	item.getPeriod().compareTo(last) > 0	_
org.jfree.data.time.TimeSeries#void#removeAgedItems#?,boolean#748	0.9896231567449482	0.9896231567449482	0.9896231567449482	!(removed && notify)	_
org.jfree.data.time.TimeSeries#int#getItemCount#?#240	0.985854189336235	0.987465940054496	0.9868212397671916	(this.data.size())== 0	_
org.jfree.data.time.TimeSeriesDataItem#?#TimeSeriesDataItem#?,RegularTimePeriod,Number#93	0.9842476914720262	0.9842476914720262	0.9842476914720262	!(period == null)	_
org.jfree.data.time.SpreadsheetDate#int#toSerial#?#211	0.9715817694369974	0.9715817694369974	0.9715817694369974	(this.serial)>= 0	_
org.jfree.data.time.SpreadsheetDate#?#SpreadsheetDate#?,int,int,int#129	0.9311408016443987	0.9784017278617709	0.959497357374822	this.day < month	_
org.jfree.data.time.SpreadsheetDate#int#calcSerial#?,int,int,int#451	0.9486910994764398	0.9721030042918456	0.9557181232328669	!(m > MonthConstants.FEBRUARY)	_
org.jfree.data.time.SerialDate#boolean#isLeapYear#?,int#499	0.9447340980187696	0.9447340980187696	0.9421900186248299	(yyyy % 4) != 0	_
org.jfree.data.time.Day#long#getFirstMillisecond#?,Calendar#324	0.9311408016443987	0.9412987012987014	0.9372355414369804	(calendar.getTime().getTime())> 0	_
org.jfree.data.time.Day#long#getLastMillisecond#?,Calendar#346	0.9311408016443987	0.9383738995339203	0.9354806603781116	(calendar.getTime().getTime())>= 0	_
org.jfree.data.time.SerialDate#int#leapYearCount#?,int#529	0.9311408016443987	0.9335394126738795	0.9325799682620872	(leap4 - leap100 + leap400)> 0	_
org.jfree.data.time.SpreadsheetDate#int#getYYYY#?#231	0.9311408016443987	0.9311408016443987	0.9311408016443987	(this.year)>= 0	_
org.jfree.data.time.SpreadsheetDate#int#getDayOfMonth#?#249	0.9311408016443987	0.9311408016443987	0.9311408016443987	(this.day)> 0	_
org.jfree.data.time.SpreadsheetDate#int#getMonth#?#240	0.9311408016443987	0.9311408016443987	0.9311408016443987	(this.month)> 0	_
org.jfree.data.time.SerialDate#int#lastDayOfMonth#?,int,int#546	0.9160768452982812	0.9160768452982812	0.9160768452982812	(result)!= 0	_
org.jfree.data.general.Series#void#fireSeriesChanged#?#313	0.8817518248175182	0.8817518248175182	0.8817518248175182	this.notify	_
org.jfree.data.general.Series#?#Series#?,Comparable,String#112	0.8728323699421965	0.8728323699421965	0.8728323699421965	!(key == null)	_
org.jfree.data.time.TimeSeries#?#TimeSeries#?,Comparable#142	0.9939659901261657	0.0	0.3975863960504663		_
org.jfree.data.time.TimeSeries#RegularTimePeriod#getTimePeriod#?,int#372	0.9896231567449482	0.0	0.39584926269797927		_
org.jfree.data.time.TimeSeries#void#add#?,RegularTimePeriod,double#561	0.9890829694323143	0.0	0.3956331877729258		_
org.jfree.data.time.TimeSeries#void#add#?,RegularTimePeriod,double,boolean#575	0.9890829694323143	0.0	0.3956331877729258		_
org.jfree.data.time.TimeSeries#TimeSeriesDataItem#getDataItem#?,int#341	0.987465940054496	0.0	0.3949863760217984		_
org.jfree.data.time.TimeSeriesDataItem#RegularTimePeriod#getPeriod#?#116	0.9863908546543279	0.0	0.39455634186173116		_
org.jfree.data.time.TimeSeriesDataItem#?#TimeSeriesDataItem#?,RegularTimePeriod,double#107	0.9853181076672104	0.0	0.3941272430668842		_
org.jfree.data.time.TimeSeries#?#TimeSeries#?,Comparable,String,String,Class#178	0.9847826086956522	0.0	0.3939130434782609		_
org.jfree.data.time.Day#SerialDate#getSerialDate#?#183	0.9842476914720262	0.0	0.3936990765888105		_
org.jfree.data.time.Day#?#Day#?,int,int,int#124	0.9472033455305804	0.0	0.3788813382122322		_
org.jfree.data.time.Day#void#peg#?,Calendar#250	0.9311408016443987	0.0	0.3724563206577595		_
org.jfree.data.time.SerialDate#SerialDate#createInstance#?,int,int,int#792	0.9311408016443987	0.0	0.3724563206577595		_
org.jfree.data.general.Series#void#notifyListeners#?,SeriesChangeEvent#326	0.8817518248175182	0.0	0.3527007299270073		_
org.jfree.data.general.SeriesChangeEvent#?#SeriesChangeEvent#?,Object#61	0.8817518248175182	0.0	0.3527007299270073		_
org.jfree.data.general.Series#?#Series#?,Comparable#102	0.8728323699421965	0.0	0.3491329479768786		_
