line	original_score	max_predicate_score	total	predicate	label
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#VectorialPointValuePair#optimize#?,DifferentiableMultivariateVectorialFunction,double[],double[],double[]#332	0.01388888888888884	0.01388888888888884	0.02777777777777768	!(target.length != weights.length)	_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#void#incrementIterationsCounter#?#173	0.01388888888888884	0.01388888888888884	0.02777777777777768	!(++iterations > maxIterations)	_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#double#getRMS#?#245	0.022727272727272707	0.0	0.022727272727272707		GT
org.apache.commons.math.optimization.VectorialPointValuePair#double[]#getPointRef#?#81	0.021739130434782594	0.0	0.021739130434782594		_
org.apache.commons.math.linear.Array2DRowRealMatrix#?#Array2DRowRealMatrix#?,double[][],boolean#133	0.010526315789473717	0.010526315789473717	0.021052631578947434	!(d[r].length != nCols)	_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#qTy#?,double[]#872	0.020000000000000018	0.0	0.020000000000000018		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?#169	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#setQRRankingThreshold#?,double#236	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#setInitialStepBoundFactor#?,double#191	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#setOrthoTolerance#?,double#223	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#setParRelativeTolerance#?,double#212	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#void#setCostRelativeTolerance#?,double#201	0.018867924528301883	0.0	0.018867924528301883		_
org.apache.commons.math.linear.LUDecompositionImpl#DecompositionSolver#getSolver#?#227	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.linear.LUDecompositionImpl$Solver#?#Solver#?,double[][],int[],boolean#249	0.017241379310344862	0.0	0.017241379310344862		_
org.apache.commons.math.linear.LUDecompositionImpl#?#LUDecompositionImpl#?,RealMatrix#68	0.015625	0.0	0.015625		_
org.apache.commons.math.optimization.VectorialPointValuePair#?#VectorialPointValuePair#?,double[],double[]#48	0.014084507042253502	0.0	0.014084507042253502		_
org.apache.commons.math.linear.Array2DRowRealMatrix#void#setSubMatrix#?,double[][],int,int#332	0.006802721088435382	0.006802721088435382	0.013605442176870763	!(nCols == 0)	_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#void#setConvergenceChecker#?,VectorialConvergenceChecker#159	0.013513513513513487	0.0	0.013513513513513487		_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#?#AbstractLeastSquaresOptimizer#?#118	0.013513513513513487	0.0	0.013513513513513487		_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#void#setMaxIterations#?,int#124	0.013513513513513487	0.0	0.013513513513513487		_
org.apache.commons.math.optimization.SimpleVectorialValueChecker#?#SimpleVectorialValueChecker#?#51	0.013513513513513487	0.0	0.013513513513513487		_
org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer#void#setMaxEvaluations#?,int#139	0.013513513513513487	0.0	0.013513513513513487		_
org.apache.commons.math.linear.MatrixUtils#RealMatrix#createRealMatrix#?,double[][]#107	0.011235955056179803	0.0	0.011235955056179803		_
org.apache.commons.math.linear.MatrixUtils#RealMatrix#createRealMatrix#?,int,int#62	0.008620689655172376	0.0	0.008620689655172376		_
org.apache.commons.math.linear.Array2DRowRealMatrix#double[][]#getData#?#298	0.008403361344537785	0.0	0.008403361344537785		_
org.apache.commons.math.linear.Array2DRowRealMatrix#double[][]#copyOut#?#598	0.008264462809917328	0.0	0.008264462809917328		_
org.apache.commons.math.linear.AbstractRealMatrix#boolean#isSquare#?#638	0.008000000000000007	0.0	0.008000000000000007		_
org.apache.commons.math.linear.Array2DRowRealMatrix#?#Array2DRowRealMatrix#?,double[][]#96	0.006849315068493178	0.0	0.006849315068493178		_
org.apache.commons.math.linear.Array2DRowRealMatrix#void#copyIn#?,double[][]#617	0.006802721088435382	0.0	0.006802721088435382		_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?,int,int#61	0.003355704697986628	0.003355704697986628	0.006711409395973256	!(columnDimension <= 0)	_
org.apache.commons.math.linear.Array2DRowRealMatrix#double#getEntry#?,int,int#355	0.00649350649350644	0.0	0.00649350649350644		_
org.apache.commons.math.linear.Array2DRowRealMatrix#?#Array2DRowRealMatrix#?,int,int#77	0.006329113924050667	0.0	0.006329113924050667		_
org.apache.commons.math.linear.Array2DRowRealMatrix#void#setEntry#?,int,int,double#367	0.006249999999999978	0.0	0.006249999999999978		_
org.apache.commons.math.linear.Array2DRowRealMatrix#int#getColumnDimension#?#407	0.004761904761904745	0.0	0.004761904761904745		_
org.apache.commons.math.linear.Array2DRowRealMatrix#int#getRowDimension#?#401	0.004739336492891044	0.0	0.004739336492891044		_
org.apache.commons.math.linear.AbstractRealMatrix#?#AbstractRealMatrix#?#45	0.0043290043290042934	0.0	0.0043290043290042934		_
